frame;time
914;6e-07
915;1.1e-06
916;3e-07
917;5e-07
918;1.6e-06
919;1.1e-06
920;9e-07
921;6e-07
922;6e-07
923;4e-07
924;4e-07
925;5e-07
926;3.4e-06
927;8e-07
928;8e-07
929;6e-07
930;7e-07
931;9e-07
932;8e-07
933;6e-07
934;4e-07
935;1.3e-06
936;8e-07
937;5e-07
938;4e-07
939;4e-07
940;4e-07
941;4e-07
942;4e-07
943;4e-07
944;4e-07
945;6e-07
946;4e-07
947;9e-07
948;1.1e-06
949;5e-07
950;4e-07
951;3e-07
952;1.3e-06
953;6e-07
954;5e-07
955;5e-07
956;5e-07
957;5e-07
958;4e-07
959;3e-07
960;6e-07
961;8e-07
962;1.2e-06
963;6e-07
964;9e-07
965;6e-07
966;5e-07
967;4.7e-06
968;4.5e-06
969;6.2e-06
970;1e-06
971;6e-07
972;6e-07
973;7e-07
974;6e-07
975;5e-07
976;5e-07
977;5e-07
978;6e-07
979;1.1e-06
980;8e-07
981;9e-07
982;3.7e-06
983;9e-07
984;7e-07
985;5e-07
986;1.4e-06
987;6e-07
988;8e-07
989;5e-07
990;4e-07
991;5e-07
992;3e-07
993;3e-07
994;4e-07
995;6e-07
996;7e-07
997;7e-07
998;1e-06
999;9e-07
1000;1e-06
1001;4e-07
1002;4e-07
1003;8.4e-06
1004;9e-07
1005;5e-07
1006;4e-07
1007;4e-07
1008;5e-07
1009;3e-07
1010;3e-07
1011;4e-07
1012;4e-07
1013;5e-07
1014;6e-07
1015;5e-07
1016;2.8e-06
1017;5e-07
1018;4e-07
1019;3e-07
1020;1.8e-06
1021;1.1e-06
1022;5e-07
1023;4e-06
1024;5e-07
1025;6e-07
1026;5e-07
1027;3e-07
1028;4e-07
1029;4e-07
1030;5e-07
1031;9e-07
1032;8e-07
1033;2.6e-06
1034;5e-07
1035;6e-07
1036;4e-07
1037;1.6e-06
1038;1.5e-06
1039;8e-07
1040;7e-07
1041;6e-07
1042;6e-07
1043;3e-07
1044;4e-07
1045;3.9e-06
1046;7e-07
1047;1e-06
1048;5e-07
1049;1.6e-06
1050;1.5e-06
1051;1.7e-06
1052;6e-07
1053;7e-07
1054;1.9e-06
1055;6e-07
1056;5e-07
1057;5e-07
1058;4e-07
1059;5e-07
1060;4e-07
1061;4e-07
1062;7e-07
1063;5e-07
1064;1e-06
1065;6e-07
1066;2.1e-06
1067;5e-07
1068;5e-07
1069;3e-07
1070;4e-07
1071;1.01e-05
1072;1.3e-06
1073;3.1e-06
1074;1.6e-06
1075;1e-06
1076;1.2e-06
1077;8e-07
1078;6e-07
1079;1e-06
1080;2.9e-06
1081;5.9e-06
1082;1.1e-06
1083;6e-07
1084;1.3e-06
1085;1.15e-05
1086;2e-06
1087;3.9e-06
1088;1.2e-06
1089;1.1e-06
1090;4e-07
1091;2e-07
1092;6e-07
1093;7e-07
1094;3e-07
1095;5e-07
1096;2.9e-06
1097;4e-07
1098;2e-07
1099;8e-07
1100;6e-07
1101;1.2e-06
1102;7e-07
1103;1.1e-06
1104;4e-07
1105;1.1e-06
1106;6e-07
1107;9e-07
1108;7e-07
1109;5e-07
1110;5e-07
1111;3e-07
1112;4e-07
1113;3e-07
1114;5e-07
1115;5e-07
1116;3e-07
1117;5e-07
1118;6e-07
1119;2.33e-05
1120;4e-07
1121;4e-07
1122;1.4e-06
1123;1.9e-06
1124;4e-07
1125;2e-07
1126;1.4e-06
1127;1.4e-06
1128;3e-07
1129;3e-07
1130;4e-07
1131;3e-07
1132;6e-07
1133;4e-07
1134;6e-07
1135;6e-07
1136;1.2e-06
1137;1.8e-06
1138;7e-07
1139;6.2e-06
1140;5e-07
1141;3e-07
1142;4e-07
1143;4e-07
1144;5e-07
1145;6e-07
1146;4e-07
1147;3e-07
1148;2e-07
1149;3e-07
1150;5e-07
1151;6e-07
1152;1e-06
1153;1.5e-06
1154;5e-07
1155;6e-07
1156;2.6e-06
1157;1.5e-06
1158;6e-07
1159;5e-07
1160;8e-07
1161;5e-07
1162;6e-07
1163;4e-07
1164;0.0093355
1165;8e-07
1166;5e-07
1167;4e-07
1168;4e-07
1169;5e-07
1170;5e-07
1171;6e-07
1172;4e-07
1173;2e-06
1174;4e-07
1175;4e-07
1176;6e-07
1177;4e-07
1178;3e-07
1179;6e-07
1180;4e-07
1181;6e-07
1182;4e-07
1183;5e-07
1184;7e-07
1185;8e-07
1186;1e-06
1187;6e-07
1188;5e-07
1189;2.9e-06
1190;1.5e-06
1191;8e-07
1192;4e-07
1193;4e-07
1194;5e-07
1195;1.6e-06
1196;3e-07
1197;5e-07
1198;7e-07
1199;4e-07
1200;7e-07
1201;7e-07
1202;6e-07
1203;2.5e-06
1204;9e-07
1205;9e-07
1206;4e-07
1207;1.5e-06
1208;3e-07
1209;1.1e-06
1210;5e-07
1211;4e-07
1212;6e-07
1213;3e-07
1214;4e-07
1215;3.6e-06
1216;6e-07
1217;6e-07
1218;7e-07
1219;8e-07
1220;6e-07
1221;2.9e-06
1222;4e-07
1223;4e-07
1224;1.3e-06
1225;4e-07
1226;4e-07
1227;5e-07
1228;4e-07
1229;2e-07
1230;3e-07
1231;4e-07
1232;5e-07
1233;4e-07
1234;8e-07
1235;5e-07
1236;6e-07
1237;1.4e-06
1238;6e-07
1239;2e-07
1240;3e-07
1241;5.9e-06
1242;4e-07
1243;2e-07
1244;3e-07
1245;3e-07
1246;4e-07
1247;5e-07
1248;3e-07
1249;4e-07
1250;3e-07
1251;3e-07
1252;5e-07
1253;7e-07
1254;8e-07
1255;1.9e-06
1256;2e-06
1257;5e-07
1258;1.1e-06
1259;9e-07
1260;5e-07
1261;6e-07
1262;6e-07
1263;5e-07
1264;2e-07
1265;5e-07
1266;6e-07
1267;6e-07
1268;1e-06
1269;1.9e-06
1270;7e-07
1271;1.4e-06
1272;4.3e-06
1273;6e-07
1274;7e-07
1275;1.2e-06
1276;4e-07
1277;3.5e-06
1278;3e-07
1279;4e-07
1280;3e-07
1281;6e-07
1282;3e-07
1283;3.7e-06
1284;4e-07
1285;4e-07
1286;4e-07
1287;1e-06
1288;7e-07
1289;1.8e-06
1290;5e-07
1291;3e-07
1292;2.6e-06
1293;5e-07
1294;4e-07
1295;3e-07
1296;4e-07
1297;5e-07
1298;6e-07
1299;4e-07
1300;6e-07
1301;5e-07
1302;6e-07
1303;1.4e-06
1304;3.2e-06
1305;4e-07
1306;4e-07
1307;1.1e-06
1308;4.1e-06
1309;1.7e-06
1310;9e-07
1311;4e-07
1312;4e-07
1313;5e-07
1314;5e-07
1315;4e-07
1316;5e-07
1317;6e-07
1318;6e-07
1319;5e-07
1320;4e-07
1321;5e-07
1322;1.2e-06
1323;1.8e-06
1324;7e-07
1325;6e-07
1326;1.3e-06
1327;4e-07
1328;4.8e-06
1329;2.2e-06
1330;4e-07
1331;5e-07
1332;4e-07
1333;3e-07
1334;1.1e-06
1335;2.1e-06
1336;1.9e-06
1337;3e-07
1338;6e-07
1339;6e-07
1340;8e-06
1341;5e-07
1342;5e-07
1343;1.1e-06
1344;4e-07
1345;4e-07
1346;3e-07
1347;3e-07
1348;4e-07
1349;4e-07
1350;3e-07
1351;5e-07
1352;3e-07
1353;3e-07
1354;4e-07
1355;7e-07
1356;5e-07
1357;1.7e-06
1358;4e-07
1359;4e-07
1360;6.3e-06
1361;6e-07
1362;4e-07
1363;4e-07
